Type,Sub-Type,Detail
Code Smell,Dead Code,Remove this unused import 'com.google.api.services.datastore.DatastoreV1.Entity'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.examples.complete.game.UserScore.ExtractAndSumScore'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.examples.complete.game.UserScore.GameActionInfo'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.examples.complete.game.UserScore.ParseEventFn'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.Pipeline'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.PipelineResult'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.AvroCoder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.CannotProvideCoderException'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.Coder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.CoderRegistry'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.DefaultCoder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.KvCoder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.StringUtf8Coder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.coders.VoidCoder'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.io.AvroIO'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.io.Read'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.io.TextIO'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.options.DataflowPipelineOptions'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.options.Default'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.options.DirectPipelineOptions'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.options.StreamingOptions'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.repackaged.com.google.common.collect.Lists'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Aggregator'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Combine'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Convert'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Create'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.CreatePObject'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.DoFn'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.DoFnTester'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Filter'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Flatten'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.GroupByKey'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.MapElements'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.ParDo'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.SeqDo'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.SerializableComparator'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.SerializableFunction'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.SimpleFunction'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.Sum'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.WithTimestamps'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.join.CoGroupByKey'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.AfterEach'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.AfterProcessingTime'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.AfterWatermark'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.BoundedWindow'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.FixedWindows'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.GlobalWindow'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.GlobalWindows'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.PaneInfo'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.Repeatedly'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.Sessions'.
